id,category,created_at,external_games,keywords,name,similar_games,slug,tags,updated_at,url,checksum,cover,first_release_date,involved_companies,platforms,release_dates,screenshots,storyline,summary,videos,websites,age_ratings,aggregated_rating,aggregated_rating_count,game_modes,genres,player_perspectives,rating,rating_count,themes,total_rating,total_rating_count,alternative_names,collection,ports,artworks,follows,franchise,franchises,parent_game,game_engines,multiplayer_modes,status,hypes,dlcs,bundles,expansions,expanded_games,version_parent,version_title,remakes,standalone_expansions,remasters
96575,0,4/19/18 0:00,"[365299, 1950588]",,Ugandan Knuckles Simulator. Meme Salvation 3D,,ugandan-knuckles-simulator-meme-salvation-3d,,11/6/20 0:00,https://www.igdb.com/games/ugandan-knuckles-simulator-meme-salvation-3d,63c143c3-e357-65f4-f59b-1015fad749d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112417,0,11/19/18 8:49,"[1652594, 1774549, 1913281]",,Terminal Conflict,"[17613, 33603, 36258, 51577, 55888, 65827, 76340, 79134, 107992, 112754]",terminal-conflict,"[268435469, 268435471]",10/22/21 21:15,https://www.igdb.com/games/terminal-conflict,d3ed1ca8-b8c6-c4b4-a4f6-5388dddefb68,190498,,,,,"[279047, 279048, 279049, 279050, 279051, 279052, 279053, 279054, 279055, 279056, 279057, 279058]",,"Touch the world with your fingertips! Your retro terminal awaits your command, for the balance of power, in this definitive Cold War strategy game. Here you belong; assert your leadership through turn based strategic tit-for-tat, on the brink of mutual assured destruction. Don't let it slip away!",,"[98474, 98475]",,,,"[1, 2]","[13, 15]",,60,0,,60,0,,,,[28677],,,,,,,4,,[155402],,,,,,,,
155932,0,7/13/21 12:09,"[2043881, 2073070]",,No Light,"[25636, 35995, 100800, 103301, 103302, 107155, 112589, 113895, 115276, 120268]",no-light--1,[1],10/1/21 10:12,https://www.igdb.com/games/no-light--1,27cb8fd7-1929-763e-3178-04a2b8929493,173913,,,,,"[524111, 524112, 524113, 524114, 524115]",,"The objective of this game is to scare you, you will not wait, you will run ... A Guard against five demons.",,[198472],,,,,,,,,[1],,,,,,[41500],,,,,,,,,,,,,,,,,
71213,0,9/28/17 0:00,"[155749, 1866663]","[1148, 3782]",Carriers at War,"[17613, 29173, 31515, 33646, 34823, 36269, 36346, 55036, 55590]",carriers-at-war,"[268435469, 268435471, 536872060, 536874694]",8/26/20 0:00,https://www.igdb.com/games/carriers-at-war,8d4f8faf-dab0-c3fe-18dd-99b79c203900,54542,,,,,,,,,,,,,,"[13, 15]",,,,,,,,,,,,,,,,,,,,,,,,,,,
116531,0,3/22/19 7:43,"[1713890, 1984281]",,疑犯寻踪 In Pursuit,"[33603, 51577, 55888, 65827, 79134, 111043, 113837, 115539, 116674, 116992]",yi-fan-xun-zong-in-pursuit,"[268435471, 268435488]",7/26/21 8:38,https://www.igdb.com/games/yi-fan-xun-zong-in-pursuit,880a24d8-8ef6-b56f-69d2-033a21ef7ee2,,,,,,"[301191, 301192, 301193, 301194, 301195, 301196]",,"In the dark night, a murder occurred in a remote town. Eight suspects were wandering on the streets. Only 8 hours left, the innocents must prove their innocence and cooperate with the inspector to solve the case; but the real murderer must remain hidden in the crowd or escape from the town.",,[105624],,,,[1],"[15, 32]",,,,,,,,,,,,,,,,,,,,,,,,,,,
104234,0,6/22/18 0:00,"[907796, 1950134]",,Zombie Crisis: Survival,,zombie-crisis-survival,,11/6/20 0:00,https://www.igdb.com/games/zombie-crisis-survival,f5d2048d-a988-7da0-279d-58cd437abef4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81357,0,1/13/18 13:05,"[204059, 1912215, 1932232]",,Farming Simulator,"[28277, 65827, 87485, 100794, 100806, 101573, 105264, 106008, 112754, 114766]",farming-simulator,[268435469],11/2/21 23:26,https://www.igdb.com/games/farming-simulator,acfee2a2-bc9a-5140-e09a-6d5f0ea51ead,118134,1378252800,[63036],[9],[215350],"[199085, 199086, 199087, 199088, 199089, 199090, 199091]",,"Discover a wide, agricultural scenery with fields, roads, your farm as well as a small village. Cultivate your fields with various three dimensional vehicles found in your generous fleet- modeled after original machines and vehicles by prestigious manufacturers.",,,[48730],,,[1],[13],,,,,,,,2793,,,,,,,,,,,,,,,,,,,
137245,0,8/27/20 0:00,[1883268],,Tail to Nose: Great Championship,,tail-to-nose-great-championship,,8/27/20 0:00,https://www.igdb.com/games/tail-to-nose-great-championship,48cb5d3f-78c9-de40-0c3e-27515a24f146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153653,0,6/28/21 14:22,[2067875],"[484, 994, 1473, 2392, 2418, 3678, 3782, 17583]",F1 Clash,"[9789, 17613, 29173, 31515, 35463, 36346, 55036, 55590, 78511, 116667]",f1-clash,"[268435466, 268435470, 268435471, 536871396, 536871906, 536872385, 536873304, 536873330, 536874590, 536874694, 536888495]",6/28/21 16:28,https://www.igdb.com/games/f1-clash,61b881f6-797a-b8ab-a312-f69bcbe552e8,155465,1557187200,[140314],"[34, 39]","[295711, 295712]","[502457, 502458, 502459, 502460, 502461, 502462, 502463]",,"F1 Clash is a racing management/strategy video game developed and published by Hutch. The game was initially released with the name F1 Manager for both iOS and Android on May 7, 2019. In May 2021 the game was rebranded to F1 Clash and it currently features all the official circuits, teams and drivers from the 2021 Formula One World Championship.",[51624],"[193865, 193866, 193867, 193868, 193869, 193870, 193871, 193872, 193873, 193874, 193875]","[43411, 43412]",,,[2],"[10, 14, 15]",[3],,,,,,,,,,,,,,[13],"[15427, 15428]",,,,,,,,,,,
4168,0,1/25/14 0:00,"[52133, 149908, 1869862]","[24, 970, 1148, 4142, 8840, 9308, 9831, 11507, 11508, 13030, 13295]",Star Trek: Shattered Universe,"[3239, 9552, 9789, 13200, 17111, 17130, 24620, 34823, 55038]",star-trek-shattered-universe,"[18, 268435461, 268435469, 536870936, 536871882, 536872060, 536875054, 536879752, 536880220, 536880743, 536882419, 536882420, 536883942, 536884207]",8/26/20 0:00,https://www.igdb.com/games/star-trek-shattered-universe,cf6f7cc2-3cd4-d36b-f497-3bba861652df,4386,1073952000,"[14656, 14657]","[8, 11]","[15006, 15007]",,,"The universe is not as you know it...Think Fast, Shoot Faster! All hands to battle stations! Get ready for a frenetic, adrenaline pumping experience in an entirely new breed of Star Trek.An intense,edgy high-energy space-combat action game set in the dark mirror universe of Star Trek: The Original Series classic-era setting, Star Trek Shattered Universe challenges the player to adapt to a new reality where everything once familiar is now a dark reflection - where the noble Federation is now an evil and relentless foe.",,,[2235],55,1,[1],"[5, 13]",,,,[18],55,1,,3440,,,,18,[18],,,,,,,,,,,,,,
155924,0,7/13/21 12:04,"[2043827, 2073064]",,Mastermine,,mastermine,,8/24/21 16:17,https://www.igdb.com/games/mastermine,1eaa0622-adb8-01ef-dabb-81d68027f93e,170712,,,,,"[524060, 524061, 524062, 524063, 524064, 524065, 524066]",,"Mastermine is a 3D, minesweeper inspired puzzle game - solve complex boards over a 3D Rubik's Cube-esque map.",,[198465],,,,,,,,,,,,,,,[41493],,,,,,,,,,,,,,,,,
94804,0,3/19/18 8:38,"[324051, 1975566]",,Space Station Continuum,"[18623, 31515, 33603, 36962, 51577, 55888, 65827, 79134, 102163, 107992]",space-station-continuum,"[268435469, 268435471, 268435488]",10/1/21 10:01,https://www.igdb.com/games/space-station-continuum,27d662c8-0c85-70b1-78f3-3c3404d2f102,104410,1592956800,[100648],[6],[198227],"[219170, 219171, 219172, 219173, 219174, 219175]",,"Space Station Continuum is a building & management sim inspired by the past, present, and future of humans in space.",[36714],"[81920, 81921]",,,,[1],"[13, 15, 32]",,,,,,,,,,[35202],,,,,,,4,,,,,,,,,,
161626,0,8/3/21 12:16,"[2017429, 2079898]",,Infinite Tournament Paintball,"[25311, 31515, 35994, 36553, 37419, 51577, 55888, 65827, 76263, 79134]",infinite-tournament-paintball,"[1, 268435469, 268435470, 268435471, 268435488]",10/29/21 9:58,https://www.igdb.com/games/infinite-tournament-paintball,10cbf190-fddb-3f0b-4d2c-a84acb5dea36,194953,,,,,"[566952, 566956, 566958, 566962, 566964, 566968, 566972, 566974, 566977, 566979, 566981]",,"Battle your friends on the field in the latest paintball game to hit the market. Infinite Tournament Paintball is an online, multiplayer, team based game that includes all the aspects of actually being on the field. Choose from a library of field layouts including speedball, hyperball, and scenario style gameplay.",,,,,,,"[13, 14, 15, 32]",,,,[1],,,,,,,,,,,,,,,,,,,,,,,
13272,0,10/11/15 0:00,"[17167, 135526, 1921167]","[57, 1599, 4157]",3D Stunt Rider,"[27378, 27553, 40470, 44178, 55192, 59341, 80382, 109292, 120268]",3d-stunt-rider,"[268435466, 536870969, 536872511, 536875069]",8/26/20 0:00,https://www.igdb.com/games/3d-stunt-rider,b3241db4-f9c7-0285-7789-83cbf10eb8d3,23182,,,,,,,A game for Amstrad CPC by Amsoft,,,,,,,[10],,,,,,,,,,,,,,,,,,,,,,,,,,,
92743,0,3/16/18 0:00,"[136914, 1876699]",,Grimblood,,grimblood,,8/26/20 0:00,https://www.igdb.com/games/grimblood,1b111e2f-c9db-f399-f479-931155741cd8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101086,0,5/10/18 0:00,"[688400, 1972157]",,Neighbor,"[36258, 79134, 87485, 101573, 105264, 106008, 112754, 114766, 115392]",neighbor,[268435469],11/6/20 0:00,https://www.igdb.com/games/neighbor,d50b71fe-8a9a-8a38-4994-a475a27d4421,,,,,,,,"Ragdoll. Noisy neighbors arranged a party, but want peace and quiet?",,[78996],[22140],,,,[13],,41.95833,0,,41.95833,0,,,,,,,,,,,,,,,,,,,,,
